Episode,Reward,Cycles,Epsilon
1,-168,50,0.90000
2,-154,50,0.85500
3,-176,50,0.81225
4,-142,50,0.77164
5,-188,50,0.73306
6,-159,50,0.69640
7,-171,50,0.66158
8,-163,50,0.62850
9,-180,50,0.59708
10,-155,50,0.56722
11,-169,50,0.53886
12,-174,50,0.51192
13,-161,50,0.48632
14,-183,50,0.46201
15,-157,50,0.43891
16,-172,50,0.41696
17,-165,50,0.39611
18,-179,50,0.37631
19,-152,50,0.35749
20,-170,50,0.33962
21,-166,50,0.32264
22,-181,50,0.30650
23,-158,50,0.29118
24,-175,50,0.27662
25,-162,50,0.26279
26,-169,50,0.24965
27,-173,50,0.23717
28,-156,50,0.22531
29,-180,50,0.21404
30,-164,50,0.20334
31,-171,50,0.19317
32,-159,50,0.18351
33,-177,50,0.17434
34,-153,50,0.16562
35,-168,50,0.15734
36,-174,50,0.14947
37,-160,50,0.14200
38,-182,50,0.13490
39,-167,50,0.12815
40,-170,50,0.12175
